danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,number_of_artists,explicit,name,url,genres,filtered_genres,top_genre,emotion
0.438,0.537,-7.301,0.0337,0.509,0.0,0.361,0.187,96.301,277226.0,30.0,1.0,False,We Are The Champions - Raw Sessions Version,https://open.spotify.com/track/3GptwqFVjCIs2iLMiGLZTA,"['classic rock', 'glam rock', 'rock']",['rock'],rock,sad
0.373,0.869,-7.719,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400.0,62.0,1.0,False,Godzilla,https://open.spotify.com/track/6N0AnkdDFZUetw8KAGHV7e,"['album rock', 'classic rock', 'hard rock', 'glam metal', 'progressive rock', 'rock']",['rock'],rock,happy
0.32,0.943,-5.789,0.126,0.00497,0.192,0.0984,0.49,166.524,178293.0,48.0,1.0,True,Sabotage - Remastered 2009,https://open.spotify.com/track/5FdEl2UUaCaN2cC70TbLbx,"['rap rock', 'golden age hip hop', 'old school hip hop', 'rap', 'east coast hip hop', 'rock', 'alternative rock', 'hip hop']",['rock'],rock,energetic
0.512,0.947,-5.659,0.0401,0.000692,0.114,0.0283,0.612,117.461,256933.0,64.0,1.0,False,Rainbow in the Dark,https://open.spotify.com/track/2PpNgmrS9mAyrkRAwn6YPq,"['album rock', 'metal', 'hard rock', 'glam metal', 'rock']","['metal', 'rock']",rock,energetic
0.394,0.8,-4.17,0.0413,0.0266,0.0,0.184,0.525,162.053,185413.0,0.0,1.0,False,Mind Reader,https://open.spotify.com/track/1N0j6Gw5lmfI7kipAgYcma,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,energetic
0.472,0.671,-6.18,0.0338,0.0409,0.0,0.0997,0.403,141.986,231666.0,0.0,1.0,False,Middle Of Nowhere,https://open.spotify.com/track/349ROTdCkkzFlT83eJnQLK,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.446,0.741,-5.874,0.0396,0.00829,0.0,0.158,0.636,152.131,211680.0,0.0,1.0,False,What You Wanna Hear,https://open.spotify.com/track/7pTcdBKVWAZDbhTLcNOm4b,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,energetic
0.431,0.747,-5.31,0.0363,0.00837,0.0,0.0803,0.732,175.971,185000.0,0.0,1.0,False,Right Where We Want It,https://open.spotify.com/track/2NNNgusMpCLNlPDa02B4WC,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.516,0.821,-5.899,0.0524,0.00393,1.48e-06,0.0968,0.537,92.977,199706.0,0.0,1.0,False,Sing It To Me,https://open.spotify.com/track/65ihXYIHnjJQiJRZIXmE9l,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,energetic
0.502,0.74,-4.553,0.0461,0.336,0.000395,0.251,0.74,165.907,197933.0,0.0,1.0,False,Yeah Yeah Yeah,https://open.spotify.com/track/2nfKBbywcgCC1yCVIShdu6,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,energetic
0.659,0.904,-3.81,0.0675,0.105,0.0,0.276,0.666,122.936,215280.0,26.0,1.0,False,Stays In Mexico,https://open.spotify.com/track/4vja6WDnpP5RXZwvydhiUJ,"['country road', 'classic oklahoma country', 'country', 'contemporary country']",['country'],country,energetic
